cat кошка
dog собака
mouse мышь
frog лягушка
tiger тигр
lion лев
hippopotamus гиппопотам
jaguar ягуар
rhinoceros носорог
orangutan орангутан
flamingo фламинго
crane журавль
camel верблюд
zebra зебра
crocodile крокодил
elephant слон
giraffe жираф
monkey обезьяна
panda панда
wolf волк
fox лиса
bear медведь
deer олень
rabbit кролик
squirrel белка
owl сова
eagle орел
dolphin дельфин
shark акула
whale кит
penguin пингвин
seal тюлень
turtle черепаха
parrot попугай
koala коала
ant муравей
bee пчела
butterfly бабочка
gorilla горилла
leopard леопард
buffalo буйвол
raccoon енот
otter выдра
lobster омар
octopus осьминог
anaconda анаконда
ostrich страус
moose лось
hedgehog еж
cheetah гепард
jellyfish медуза
cricket сверчок
worm червь
chameleon хамелеон
lemur лемур
mollusk моллюск
spider паук
skunk скунс
hawk ястреб
seagull чайка
cobra кобра
peacock павлин
mule мул
toad жаба
